document_id,title,authors,year,source,pmid,doi,url,document_type,topic,subtopic,full_text_available
seed_36001057,Artificial intelligence in melanoma: A systematic review.,"['Zhang Shu', 'Wang Yuanzhuo', 'Zheng Qingyue', 'Li Jiarui', 'Huang Jiuzuo', 'Long Xiao']",2022,PubMed,36001057,10.1111/jocd.15323,https://pubmed.ncbi.nlm.nih.gov/36001057/,scientific_paper,ai_melanoma,general,False
seed_39088883,Deep learning algorithms for melanoma detection using dermoscopic images: A systematic review and meta-analysis.,"['Ye Zichen', 'Zhang Daqian', 'Zhao Yuankai', 'Chen Mingyang', 'Wang Huike', 'Seery Samuel', 'Qu Yimin', 'Xue Peng', 'Jiang Yu']",2024,PubMed,39088883,10.1016/j.artmed.2024.102934,https://pubmed.ncbi.nlm.nih.gov/39088883/,scientific_paper,ai_melanoma,general,False
seed_39806282,Diagnosis and prognosis of melanoma from dermoscopy images using machine learning and deep learning: a systematic literature review.,"['Naseri Hoda', 'Safaei Ali A']",2025,PubMed,39806282,10.1186/s12885-024-13423-y,https://pubmed.ncbi.nlm.nih.gov/39806282/,scientific_paper,ai_melanoma,general,False
seed_37835388,Analysis of Artificial Intelligence-Based Approaches Applied to Non-Invasive Imaging for Early Detection of Melanoma: A Systematic Review.,"['Patel Raj H', 'Foltz Emilie A', 'Witkowski Alexander', 'Ludzik Joanna']",2023,PubMed,37835388,10.3390/cancers15194694,https://pubmed.ncbi.nlm.nih.gov/37835388/,scientific_paper,ai_melanoma,general,False
seed_38722750,Artificial Intelligence in Dermatology: A Systematic Review of Its Applications in Melanoma and Keratinocyte Carcinoma Diagnosis.,"['Jairath Neil', 'Pahalyants Vartan', 'Shah Rohan', 'Weed Jason', 'Carucci John A', 'Criscito Maressa C']",2024,PubMed,38722750,10.1097/DSS.0000000000004223,https://pubmed.ncbi.nlm.nih.gov/38722750/,scientific_paper,ai_melanoma,general,False
seed_38611119,Performance of Commercial Dermatoscopic Systems That Incorporate Artificial Intelligence for the Identification of Melanoma in General Practice: A Systematic Review.,"['Miller Ian', 'Rosic Nedeljka', 'Stapelberg Michael', 'Hudson Jeremy', 'Coxon Paul', 'Furness James', 'Walsh Joe', 'Climstein Mike']",2024,PubMed,38611119,10.3390/cancers16071443,https://pubmed.ncbi.nlm.nih.gov/38611119/,scientific_paper,ai_melanoma,general,False
seed_41879756,Prospective Evidence on Artificial Intelligence-Assisted Melanoma Diagnostics: A Systematic Review and Meta-Analysis.,"['Laiouar-Pedari Sara', 'Kühn Arlene', 'Wies Christoph', 'Garcia Carina Nogueira', 'Winterstein Jana Therés', 'Heinlein Lukas', 'Hoffsommer Annemarie', 'Chanda Tirtha', 'Haggenmüller Sarah', 'Brinker Titus J']",2026,PubMed,41879756,10.1001/jamadermatol.2026.0217,https://pubmed.ncbi.nlm.nih.gov/41879756/,scientific_paper,ai_melanoma,general,False
seed_19302072,Systematic review of dermoscopy and digital dermoscopy/ artificial intelligence for the diagnosis of melanoma.,"['Rajpara S M', 'Botello A P', 'Townend J', 'Ormerod A D']",2009,PubMed,19302072,10.1111/j.1365-2133.2009.09093.x,https://pubmed.ncbi.nlm.nih.gov/19302072/,scientific_paper,ai_melanoma,general,False
doc_42630030,Advances in γδ T Cells: Cutaneous Biology and Therapeutic Potential for Skin Neoplasms.,"['Du Simo', 'Jallorina Anika', 'Yoshino Toru', 'Bao Lingyu', 'Bao Han', 'Chang Victor', 'Wong Henry K', 'Chan Derek V', 'Richardson Stephen K', 'Lee-Wong Mary F']",2026,PubMed,42630030,10.1111/1346-8138.70461,https://pubmed.ncbi.nlm.nih.gov/42630030/,scientific_paper,melanoma_fundamentals,general,False
doc_42614357,MYC as a key target for melanoma therapy.,"['Lillo-Valero Manuel', 'Zacarías-Fluck Mariano F', 'Soucek Laura']",2026,PubMed,42614357,10.3389/fcell.2026.1750941,https://pubmed.ncbi.nlm.nih.gov/42614357/,scientific_paper,melanoma_fundamentals,general,False
doc_42594762,iPSC-derived polyvalent vaccines as ontogenetically informed immunogens toward overcoming immune refractoriness in microsatellite-stable colorectal cancer: An emerging frontier in cancer immunotherapy.,"['Kumar Abhishek', 'Dwivedi Dyumn', 'Ghosh Neha', 'Gopalakrishnan Kesavaperumal', 'Rahamathulla Mohamed', 'Ahmed Mohammed Muqtader', 'Nair Chandralekha', 'Singh Dewang', 'Singh Randhir', 'Das Uddalak']",2026,PubMed,42594762,10.1016/j.molimm.2026.08.008,https://pubmed.ncbi.nlm.nih.gov/42594762/,scientific_paper,melanoma_fundamentals,general,False
doc_42588703,Postbiotics Against Breast Cancer: A Narrative Review Bridging Preclinical Evidence with Potential Clinical Application.,"['Luongo Chiara', 'Di Santillo Roberta', 'Cadavere Alessia', 'Oglio Franca', 'Pisapia Laura', 'Gaeta Alessia', 'Scocco Chiara', 'López-Cánovas Juan Luis', 'Michelini Marco', 'De Aloe Monia', 'Lintura Anna', 'Chumsri Saranya', 'Canani Roberto Berni']",2026,PubMed,42588703,10.3390/cancers18152486,https://pubmed.ncbi.nlm.nih.gov/42588703/,scientific_paper,melanoma_fundamentals,general,False
doc_42585758,Harnessing dendritic cells (DCs) for melanoma immunotherapy: From basic biology to clinical strategies.,"['Rodrigues Donisha Sonal', 'Saeed Bahaa Ibrahim', 'Alkhathami Ali G', 'Kareem A K', 'Tillyashaykhov Mirzagaleb', 'Al-Khafaji Zahraa Abbas', 'Al-Mashhadani Zuhair I', 'Kadhum Wesam R', 'Bokhoor Sami Najaf', 'Mustafa Yasser Fakri']",2026,PubMed,42585758,10.1016/j.retram.2026.103604,https://pubmed.ncbi.nlm.nih.gov/42585758/,scientific_paper,melanoma_fundamentals,general,False
